win_idx,win_start,packet_count,tcp_count,udp_count,icmp_count,syn_count,ack_count,fin_count,psh_count,rst_count,total_bytes,avg_packet_size,mean_time_diff,std_time_diff,unique_src,unique_dst,unique_src_ports,unique_dst_ports,src_entropy,dst_entropy,syn_ratio,tcp_ratio,avg_bytes_per_packet
106,106.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5121132774999992,0.5121020764999926,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
107,107.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5122634989999995,0.5122375299999931,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
108,108.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5116733185000015,0.5116620774999916,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
109,109.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5127867289999983,0.5127752580000049,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
110,110.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5111930504999975,0.511180647499998,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
111,111.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5128028195000027,0.512794003499998,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
112,112.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5110333905000033,0.5110228905000014,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
113,113.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5122731649999963,0.512264407999993,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
114,114.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5119368909999977,0.5119284549999961,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
115,115.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5120246410000036,0.5120129589999962,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
116,116.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5127032795000019,0.5126940214999962,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
117,117.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5140574264999955,0.5135417084999929,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
118,118.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5009271660000039,0.500913630999996,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
119,119.0,6,0,0,2,0,0,0,0,0,902,150.33333333333334,0.192397289166666,0.38009670063997103,3,3,0,0,1.0986122886651097,1.0986122886651097,0.0,0.0,150.33333333333334
120,120.0,2,0,0,2,0,0,0,0,0,236,118.0,0.4553593454999998,0.4551835205000003,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
121,121.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5116494930000002,0.5116400949999971,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
122,122.0,2,0,0,2,0,0,0,0,0,236,118.0,0.511927769499998,0.5119190425000042,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
123,123.0,6,0,0,2,0,0,0,0,0,902,150.33333333333334,0.17066062700000137,0.21850754283254803,3,3,0,0,1.0986122886651097,1.0986122886651097,0.0,0.0,150.33333333333334
124,124.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5125774864999997,0.5125477604999915,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
126,126.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5116665179999984,0.5116577320000033,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
127,127.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5124326325000013,0.5124168725000047,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
128,128.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5115580800000004,0.5115346049999943,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
129,129.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118628540000003,0.5118515219999864,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
130,130.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5120379574999987,0.5120265055000033,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
131,131.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5127334109999993,0.5127244230000088,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
132,132.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5111341070000037,0.511122505000003,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
133,133.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5120879489999908,0.5120770280000073,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
134,134.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5120403694999993,0.5120281355000031,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
135,135.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5118381725000063,0.5118296455000007,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
136,136.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5121391305000031,0.5121283004999952,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
137,137.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5123855414999952,0.5123761134999967,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
138,138.0,12,10,0,2,2,9,2,2,0,2960,246.66666666666666,0.08526624733333439,0.22746635070109356,2,2,2,2,0.4505612088643047,0.4505612088643047,0.16666666666666666,0.8333333333333334,246.66666666666666
139,139.0,2,0,0,2,0,0,0,0,0,236,118.0,0.5123606824999882,0.5123515654999977,1,1,0,0,-1.000088900581841e-12,-1.000088900581841e-12,0.0,0.0,118.0
140,140.0,6,0,0,2,0,0,0,0,0,877,146.16666666666666,0.170614003666671,0.28905692463796867,3,3,0,0,1.0986122886651097,1.0986122886651097,0.0,0.0,146.16666666666666
